hour,tree_index,node_id,depth,feature,feature_index,threshold,feature_type,days_back
2,2,2,1,dSocdt_h22_day_minus1,698,-4.23670006,dSocdt,1
2,3,0,0,dSocdt_h4_day_minus1,680,-0.610199988,dSocdt,1
2,3,1,1,dSocdt_h2_day_minus1,678,-3.55360007,dSocdt,1
2,3,2,1,dSocdt_h23_day_minus1,699,-0.687699974,dSocdt,1
2,4,0,0,dSocdt_h4_day_minus1,680,-0.610199988,dSocdt,1
2,4,1,1,dSocdt_h2_day_minus2,626,-6.79209995,dSocdt,2
2,4,2,1,dSocdt_h23_day_minus1,699,-0.687699974,dSocdt,1
2,5,0,0,dSocdt_h6_day_minus1,682,-0.371899992,dSocdt,1
2,5,1,1,dSocdt_h3_day_minus1,679,-5.13199997,dSocdt,1
2,5,2,1,dSocdt_h9_day_minus1,685,-14.5230999,dSocdt,1
2,6,0,0,dSocdt_h6_day_minus1,682,-0.371899992,dSocdt,1
2,6,1,1,dSocdt_h2_day_minus2,626,-1.18410003,dSocdt,2
2,6,2,1,dSocdt_h22_day_minus1,698,-4.23670006,dSocdt,1
2,7,0,0,dSocdt_h3_day_minus1,679,-1.42410004,dSocdt,1
2,7,1,1,dSocdt_h2_day_minus2,626,-6.79209995,dSocdt,2
2,7,2,1,dSocdt_h7_day_minus2,631,-0.221399993,dSocdt,2
2,8,0,0,dSocdt_h3_day_minus1,679,-1.42410004,dSocdt,1
2,8,1,1,dSocdt_h2_day_minus2,626,-6.79209995,dSocdt,2
2,8,2,1,dSocdt_h3_day_minus2,627,-0.610800028,dSocdt,2
2,9,0,0,dSocdt_h7_day_minus1,683,-0.275200009,dSocdt,1
2,9,1,1,Soc_h9_day_minus2,657,15.4948997,Soc,2
2,9,2,1,day_day_minus1,725,27.0,Date,1
2,10,0,0,dSocdt_h3_day_minus1,679,-1.42410004,dSocdt,1
2,10,1,1,dSocdt_h2_day_minus2,626,-6.79209995,dSocdt,2
2,10,2,1,dSocdt_h3_day_minus2,627,-0.610800028,dSocdt,2
2,11,0,0,dSocdt_h4_day_minus1,680,-0.610199988,dSocdt,1
2,11,1,1,dSocdt_h1_day_minus2,625,-9.3114996,dSocdt,2
2,11,2,1,dSocdt_h23_day_minus1,699,-0.687699974,dSocdt,1
2,12,0,0,dSocdt_h3_day_minus1,679,-1.42410004,dSocdt,1
2,12,1,1,dSocdt_h2_day_minus2,626,-6.79209995,dSocdt,2
2,12,2,1,dSocdt_h7_day_minus2,631,-0.221399993,dSocdt,2
2,13,0,0,dSocdt_h2_day_minus2,626,-1.18410003,dSocdt,2
2,13,1,1,Soc_h9_day_minus2,657,19.2901001,Soc,2
2,13,2,1,dSocdt_h3_day_minus1,679,-2.55299997,dSocdt,1
2,14,0,0,dSocdt_h4_day_minus1,680,-0.610199988,dSocdt,1
2,14,1,1,dSocdt_h2_day_minus1,678,-8.46290016,dSocdt,1
2,14,2,1,dSocdt_h23_day_minus1,699,-0.687699974,dSocdt,1
2,15,0,0,dSocdt_h3_day_minus1,679,-1.52699995,dSocdt,1
2,15,1,1,Soc_h17_day_minus2,665,38.9492989,Soc,2
2,15,2,1,dSocdt_h0_day_minus1,676,-4.03630018,dSocdt,1
2,16,0,0,dSocdt_h2_day_minus2,626,-1.18410003,dSocdt,2
2,16,1,1,Soc_h9_day_minus2,657,19.2901001,Soc,2
2,16,2,1,dSocdt_h10_day_minus2,634,-14.4165001,dSocdt,2
2,17,0,0,dSocdt_h7_day_minus1,683,-0.480199993,dSocdt,1
2,17,1,1,Soc_h23_day_minus1,723,31.3437004,Soc,1
2,17,2,1,day_day_minus1,725,25.0,Date,1
2,18,0,0,dSocdt_h2_day_minus1,678,-8.46290016,dSocdt,1
2,18,1,1,dSocdt_h23_day_minus1,699,-3.1027,dSocdt,1
2,18,2,1,dSocdt_h2_day_minus2,626,-0.986599982,dSocdt,2
2,19,0,0,dSocdt_h3_day_minus1,679,-1.42410004,dSocdt,1
2,19,1,1,dSocdt_h2_day_minus2,626,-6.79209995,dSocdt,2
2,19,2,1,dSocdt_h2_day_minus1,678,-10.2467003,dSocdt,1
2,20,0,0,dSocdt_h7_day_minus1,683,-0.275200009,dSocdt,1
2,20,1,1,Soc_h16_day_minus1,716,5.82350016,Soc,1
2,20,2,1,day_day_minus2,673,26.0,Date,2
2,21,0,0,dSocdt_h7_day_minus1,683,-0.275200009,dSocdt,1
2,21,1,1,Soc_h23_day_minus1,723,31.1448002,Soc,1
2,21,2,1,day_day_minus1,725,27.0,Date,1
2,22,0,0,dSocdt_h3_day_minus1,679,-5.13199997,dSocdt,1
2,22,1,1,Soc_h13_day_minus1,713,74.5535965,Soc,1
2,22,2,1,dSocdt_h1_day_minus2,625,-3.92689991,dSocdt,2
2,23,0,0,dSocdt_h2_day_minus1,678,-2.33570004,dSocdt,1
2,23,1,1,Soc_h17_day_minus2,665,37.4068985,Soc,2
2,23,2,1,dSocdt_h0_day_minus1,676,-4.03630018,dSocdt,1
2,24,0,0,dSocdt_h10_day_minus1,686,-0.275200009,dSocdt,1
2,24,1,1,dSocdt_h1_day_minus1,677,-13.9995003,dSocdt,1
2,24,2,1,dSocdt_h9_day_minus1,685,-14.5230999,dSocdt,1
3,0,0,0,dSocdt_h4_day_minus1,680,-0.187399998,dSocdt,1
3,0,1,1,dSocdt_h10_day_minus2,634,-16.5018997,dSocdt,2
3,0,2,1,dSocdt_h23_day_minus1,699,-0.410400003,dSocdt,1
3,1,0,0,dSocdt_h5_day_minus1,681,-0.184,dSocdt,1
3,1,1,1,dSocdt_h19_day_minus5,487,-19.7397003,dSocdt,5
3,1,2,1,day_day_minus1,725,28.0,Date,1
3,2,0,0,dSocdt_h10_day_minus2,634,-16.5018997,dSocdt,2
3,2,1,1,dSocdt_h0_day_minus2,624,-10.4287996,dSocdt,2
3,2,2,1,dSocdt_h5_day_minus1,681,-0.184,dSocdt,1
3,3,0,0,dSocdt_h3_day_minus1,679,-1.15170002,dSocdt,1
3,3,1,1,dSocdt_h10_day_minus2,634,-12.4540005,dSocdt,2
3,3,2,1,dSocdt_h23_day_minus1,699,-0.574199975,dSocdt,1
3,4,0,0,dSocdt_h4_day_minus1,680,-0.187399998,dSocdt,1
3,4,1,1,dSocdt_h10_day_minus2,634,-16.5018997,dSocdt,2
3,4,2,1,Soc_h22_day_minus1,722,97.7827988,Soc,1
3,5,0,0,dSocdt_h3_day_minus1,679,-1.15170002,dSocdt,1
3,5,1,1,dSocdt_h10_day_minus2,634,-13.2930002,dSocdt,2
3,5,2,1,dSocdt_h7_day_minus2,631,-0.435600013,dSocdt,2
3,6,0,0,dSocdt_h10_day_minus2,634,-16.5018997,dSocdt,2
3,6,1,1,dSocdt_h0_day_minus2,624,-10.4287996,dSocdt,2
